customer_id,name,sex,state,age,is_married,active_since,event_time
C1,brooke williams,F,alabama,76,True,2019-03-09 14:43:26,2024-05-02T05:39:10.965Z
C2,jim reese,M,oregon,76,True,2016-07-24 05:21:59,2024-05-02T05:39:10.966Z
C3,adam walker phd,M,north dakota,40,True,2017-11-21 01:14:51,2024-05-02T05:39:10.967Z
C4,nathan roberts,M,louisiana,68,False,2016-11-16 04:44:55,2024-05-02T05:39:10.967Z
C5,richard adkins,M,idaho,62,False,2017-03-27 21:09:31,2024-05-02T05:39:10.968Z
C6,billy martinez,M,massachusetts,73,True,2017-01-22 21:38:30,2024-05-02T05:39:10.969Z
C7,mark torres,M,nevada,82,False,2018-03-14 09:10:13,2024-05-02T05:39:10.970Z
C8,patrick walter,M,wyoming,32,False,2018-08-04 22:19:14,2024-05-02T05:39:10.971Z
C9,andrew alvarado,M,idaho,86,False,2018-09-29 18:01:16,2024-05-02T05:39:10.972Z
C10,jason lee,M,kentucky,33,True,2018-12-29 09:26:11,2024-05-02T05:39:10.972Z
C11,rebecca king,F,nebraska,28,True,2017-03-05 21:19:59,2024-05-02T05:39:10.973Z
C12,crystal jenkins,F,maine,76,False,2018-08-13 12:32:41,2024-05-02T05:39:10.973Z
C13,karen wyatt,F,georgia,51,False,2018-12-06 00:37:45,2024-05-02T05:39:10.974Z
C14,emily ramirez,F,arizona,24,False,2019-08-14 16:20:46,2024-05-02T05:39:10.975Z
C15,kimberly mckinney,F,iowa,44,False,2016-11-09 20:29:47,2024-05-02T05:39:10.976Z
C16,ariana thomas,F,washington,60,False,2016-01-12 22:09:27,2024-05-02T05:39:10.976Z
C17,timothy mendez,M,illinois,47,False,2019-05-08 23:37:52,2024-05-02T05:39:10.977Z
C18,scott carroll,M,connecticut,57,True,2019-12-29 07:14:22,2024-05-02T05:39:10.978Z
C19,kevin campbell,M,wyoming,44,False,2018-09-29 15:34:07,2024-05-02T05:39:10.978Z
C20,kristina schmidt,F,ohio,40,False,2018-04-18 10:31:45,2024-05-02T05:39:10.979Z
C21,jennifer gallagher,F,alabama,36,False,2019-03-27 05:13:45,2024-05-02T05:39:10.980Z
C22,willie wright,M,arkansas,42,True,2017-01-29 12:07:22,2024-05-02T05:39:10.981Z
C23,derrick king,M,iowa,62,False,2019-08-20 11:35:35,2024-05-02T05:39:10.981Z
C24,brandy juarez,F,iowa,65,False,2017-02-19 14:11:03,2024-05-02T05:39:10.982Z
C25,william cook,M,wyoming,70,False,2019-08-19 09:06:59,2024-05-02T05:39:10.983Z
C26,shelly mitchell,F,vermont,44,True,2016-02-13 09:16:59,2024-05-02T05:39:10.983Z
C27,amy chen,F,maryland,69,False,2017-06-16 04:59:10,2024-05-02T05:39:10.984Z
C28,jose smith,M,new jersey,77,False,2018-02-25 23:31:05,2024-05-02T05:39:10.984Z
C29,michael johnson,M,georgia,89,False,2016-03-23 16:31:20,2024-05-02T05:39:10.985Z
C30,andrew rose,M,texas,53,True,2019-02-06 07:11:44,2024-05-02T05:39:10.985Z
C31,brandi campbell,F,missouri,66,True,2017-06-17 09:07:14,2024-05-02T05:39:10.986Z
C32,harold hill,M,louisiana,38,False,2016-02-04 11:45:08,2024-05-02T05:39:10.987Z
C33,james nelson,M,south carolina,33,False,2018-04-27 01:40:35,2024-05-02T05:39:10.987Z
C34,mr. david lee md,M,maine,41,False,2019-07-17 00:01:29,2024-05-02T05:39:10.988Z
C35,elizabeth foley dds,F,missouri,18,True,2019-02-04 14:52:31,2024-05-02T05:39:10.988Z
C36,carl lindsey,M,new hampshire,68,False,2019-03-09 04:01:48,2024-05-02T05:39:10.989Z
C37,timothy sanchez,M,colorado,36,False,2018-09-16 06:37:45,2024-05-02T05:39:10.990Z
C38,colleen palmer,F,new york,90,True,2016-08-19 17:21:29,2024-05-02T05:39:10.990Z
C39,samantha hess,F,tennessee,38,False,2018-06-13 15:49:35,2024-05-02T05:39:10.991Z
C40,shannon scott dds,M,maine,42,True,2017-02-27 05:28:13,2024-05-02T05:39:10.992Z
C41,lauren perry,F,louisiana,39,True,2018-07-09 04:21:49,2024-05-02T05:39:10.992Z
C42,allison murphy,F,illinois,21,False,2019-07-14 20:51:31,2024-05-02T05:39:10.993Z
C43,bradley watkins,M,iowa,48,False,2017-08-15 00:30:01,2024-05-02T05:39:10.994Z
C44,kathy meadows,F,wyoming,75,True,2017-07-23 13:18:53,2024-05-02T05:39:10.995Z
C45,cassie cox,F,nebraska,67,True,2018-05-28 12:50:29,2024-05-02T05:39:10.995Z
C46,christopher larson,M,maine,34,True,2019-06-16 05:32:42,2024-05-02T05:39:10.996Z
C47,nicholas smith,M,indiana,88,True,2019-05-03 12:35:25,2024-05-02T05:39:10.996Z
C48,daniel keller,M,arkansas,24,False,2019-08-30 21:14:40,2024-05-02T05:39:10.997Z
C49,danielle schmidt,F,hawaii,49,False,2019-10-01 20:42:03,2024-05-02T05:39:10.998Z
C50,monica vincent,F,georgia,82,False,2018-10-12 16:17:08,2024-05-02T05:39:10.998Z
C51,danielle cameron,F,nevada,55,True,2016-06-09 20:55:31,2024-05-02T05:39:10.999Z
C52,stephanie white,F,pennsylvania,61,True,2019-05-25 07:01:22,2024-05-02T05:39:10.999Z
C53,jennifer hall,F,ohio,85,False,2019-12-18 21:53:12,2024-05-02T05:39:11.000Z
C54,calvin harrell,M,washington,61,False,2019-12-14 09:25:07,2024-05-02T05:39:11.001Z
C55,edward johnson dds,M,maine,87,False,2019-02-12 11:09:31,2024-05-02T05:39:11.002Z
C56,kevin norman,M,arkansas,64,True,2017-01-29 08:17:17,2024-05-02T05:39:11.003Z
C57,brian jackson,M,hawaii,79,False,2017-10-19 01:08:23,2024-05-02T05:39:11.003Z
C58,richard garza,M,minnesota,69,True,2018-01-23 13:50:33,2024-05-02T05:39:11.004Z
C59,heather jackson,F,utah,25,False,2018-05-15 14:15:35,2024-05-02T05:39:11.004Z
C60,james parsons,M,texas,30,False,2019-07-30 20:23:50,2024-05-02T05:39:11.005Z
C61,michael ramirez,M,pennsylvania,56,True,2016-12-25 14:15:55,2024-05-02T05:39:11.006Z
C62,charles gomez,M,new york,73,True,2017-01-01 02:26:05,2024-05-02T05:39:11.007Z
C63,sophia nolan,F,alabama,50,True,2017-11-12 04:29:24,2024-05-02T05:39:11.008Z
C64,ashley reynolds,F,ohio,48,True,2017-07-08 11:18:13,2024-05-02T05:39:11.008Z
C65,paul watts,M,nebraska,73,False,2018-12-20 20:16:32,2024-05-02T05:39:11.009Z
C66,michael rich,M,nevada,83,False,2019-03-19 10:43:53,2024-05-02T05:39:11.009Z
C67,mr. walter nelson,M,colorado,81,False,2016-12-09 18:35:43,2024-05-02T05:39:11.010Z
C68,steven wilson,M,massachusetts,50,False,2019-07-11 09:32:12,2024-05-02T05:39:11.011Z
C69,luis smith,M,north dakota,36,True,2018-11-18 10:12:49,2024-05-02T05:39:11.011Z
C70,joshua martinez,M,georgia,25,True,2018-09-24 21:55:06,2024-05-02T05:39:11.012Z
C71,james parker,M,oregon,59,False,2016-12-08 17:42:59,2024-05-02T05:39:11.013Z
C72,elizabeth sampson,F,minnesota,39,False,2019-08-02 06:06:08,2024-05-02T05:39:11.014Z
C73,herbert cross,M,colorado,24,True,2016-08-25 00:18:03,2024-05-02T05:39:11.014Z
C74,rodney white,M,florida,53,True,2016-11-28 21:14:27,2024-05-02T05:39:11.015Z
C75,laura lee,F,iowa,33,False,2016-06-08 09:04:11,2024-05-02T05:39:11.016Z
C76,michelle tate,F,new jersey,24,False,2016-05-18 09:48:27,2024-05-02T05:39:11.016Z
C77,kathleen savage,F,hawaii,46,False,2018-05-07 02:59:27,2024-05-02T05:39:11.017Z
C78,sheila weaver,F,pennsylvania,57,False,2016-03-12 00:12:04,2024-05-02T05:39:11.017Z
C79,eugene huffman iii,M,nevada,85,False,2017-07-05 02:34:12,2024-05-02T05:39:11.018Z
C80,mark wright,M,montana,45,True,2016-08-04 23:26:38,2024-05-02T05:39:11.019Z
C81,mark reed,M,connecticut,90,True,2018-11-02 19:37:12,2024-05-02T05:39:11.019Z
C82,arthur cole,M,hawaii,63,False,2019-04-23 02:29:23,2024-05-02T05:39:11.020Z
C83,edward walker,M,massachusetts,60,False,2016-01-10 00:48:28,2024-05-02T05:39:11.021Z
C84,alec harrison,M,wyoming,76,False,2018-05-21 20:18:38,2024-05-02T05:39:11.021Z
C85,matthew hughes,M,wisconsin,19,False,2018-04-20 05:02:27,2024-05-02T05:39:11.022Z
C86,mark lee,M,maryland,32,False,2018-10-23 10:10:14,2024-05-02T05:39:11.023Z
C87,stephanie stewart,F,missouri,78,False,2019-05-05 09:31:23,2024-05-02T05:39:11.023Z
C88,jennifer coleman,F,wyoming,42,False,2018-07-24 17:33:54,2024-05-02T05:39:11.024Z
C89,bradley robbins,M,south dakota,85,True,2019-04-21 09:14:56,2024-05-02T05:39:11.024Z
C90,howard gonzalez,M,hawaii,33,True,2019-01-31 06:15:13,2024-05-02T05:39:11.025Z
C91,casey byrd,F,alaska,44,True,2017-07-27 07:03:06,2024-05-02T05:39:11.026Z
C92,damon peterson,M,vermont,23,False,2017-12-26 16:04:42,2024-05-02T05:39:11.026Z
C93,beverly madden,F,mississippi,67,False,2016-05-28 23:32:43,2024-05-02T05:39:11.027Z
C94,donna smith,F,indiana,31,False,2019-07-05 08:53:11,2024-05-02T05:39:11.028Z
C95,michelle jones,F,michigan,69,False,2019-04-22 05:43:46,2024-05-02T05:39:11.028Z
C96,brian stewart,M,arizona,37,False,2018-03-22 00:11:15,2024-05-02T05:39:11.029Z
C97,kathy thomas,F,arizona,79,True,2018-09-11 21:56:42,2024-05-02T05:39:11.029Z
C98,rachel johnson,F,hawaii,87,True,2017-04-15 18:47:43,2024-05-02T05:39:11.030Z
C99,angie salazar md,F,maryland,22,True,2016-08-16 03:33:21,2024-05-02T05:39:11.031Z
C100,james matthews,M,arkansas,74,False,2016-09-03 14:31:12,2024-05-02T05:39:11.032Z
C101,mark ferguson,M,new jersey,38,True,2017-01-06 09:53:08,2024-05-02T05:39:11.032Z
C102,melvin bennett,M,maine,24,False,2016-02-15 15:01:25,2024-05-02T05:39:11.033Z
C103,michael moreno,M,nebraska,78,False,2018-04-22 03:47:08,2024-05-02T05:39:11.033Z
C104,mark brooks,M,nevada,24,False,2019-07-28 14:08:31,2024-05-02T05:39:11.034Z
C105,jane sampson,F,vermont,43,False,2016-11-13 00:47:03,2024-05-02T05:39:11.035Z
C106,michael carson,M,maine,49,False,2018-01-18 20:48:07,2024-05-02T05:39:11.035Z
C107,mitchell roberts,M,utah,38,True,2017-06-03 05:47:05,2024-05-02T05:39:11.036Z
C108,zachary patterson,M,new mexico,30,True,2017-05-26 06:31:18,2024-05-02T05:39:11.037Z
C109,jerry williams,M,south carolina,22,True,2018-12-05 12:39:00,2024-05-02T05:39:11.037Z
C110,elizabeth jones,F,connecticut,35,False,2019-11-18 12:56:08,2024-05-02T05:39:11.038Z
C111,dominique warren,F,illinois,45,False,2019-06-16 13:49:30,2024-05-02T05:39:11.039Z
C112,amanda reid,F,illinois,29,False,2018-12-27 20:49:14,2024-05-02T05:39:11.039Z
C113,james leonard,M,washington,33,False,2018-03-25 17:53:41,2024-05-02T05:39:11.040Z
C114,phyllis cooper,F,delaware,50,True,2018-04-23 02:45:48,2024-05-02T05:39:11.040Z
C115,julie ali,F,minnesota,26,True,2019-08-02 13:32:48,2024-05-02T05:39:11.041Z
C116,jake lane,M,maryland,69,False,2018-08-26 11:00:08,2024-05-02T05:39:11.042Z
C117,jeffery shelton,M,connecticut,22,True,2019-06-15 06:42:36,2024-05-02T05:39:11.042Z
C118,jason barton,M,mississippi,87,True,2019-01-06 18:59:41,2024-05-02T05:39:11.043Z
C119,matthew lewis,M,texas,72,True,2018-10-13 01:56:36,2024-05-02T05:39:11.044Z
C120,susan sanchez,F,minnesota,78,False,2019-09-26 23:02:39,2024-05-02T05:39:11.044Z
C121,carla fowler,F,arizona,75,False,2016-06-05 08:56:35,2024-05-02T05:39:11.045Z
C122,kristen white,F,mississippi,61,True,2018-03-22 14:54:53,2024-05-02T05:39:11.045Z
C123,roberto hayes,M,new jersey,76,True,2016-04-30 11:18:45,2024-05-02T05:39:11.046Z
C124,elizabeth kim,F,louisiana,85,True,2016-08-12 20:46:12,2024-05-02T05:39:11.047Z
C125,richard hart,M,colorado,42,False,2019-08-05 21:03:03,2024-05-02T05:39:11.047Z
C126,sean casey,M,north dakota,50,False,2017-05-24 22:51:02,2024-05-02T05:39:11.048Z
C127,jasmine price,F,idaho,71,False,2019-02-26 07:20:30,2024-05-02T05:39:11.048Z
C128,jennifer gibbs,F,wisconsin,36,False,2017-12-01 18:17:57,2024-05-02T05:39:11.049Z
C129,patrick travis,M,utah,44,False,2016-09-27 13:31:25,2024-05-02T05:39:11.050Z
C130,james graves,M,north carolina,70,False,2019-11-08 07:12:08,2024-05-02T05:39:11.050Z
C131,erica roy,F,oklahoma,27,True,2018-10-10 05:55:48,2024-05-02T05:39:11.051Z
C132,john simon,M,new jersey,52,False,2019-01-05 05:09:26,2024-05-02T05:39:11.052Z
C133,bonnie curry phd,F,louisiana,69,True,2018-04-10 00:03:02,2024-05-02T05:39:11.052Z
C134,deborah smith,F,missouri,51,True,2017-07-25 16:38:09,2024-05-02T05:39:11.053Z
C135,phyllis hahn,F,missouri,30,True,2017-06-09 04:26:50,2024-05-02T05:39:11.053Z
C136,joseph johnson,M,new mexico,42,True,2016-06-14 23:09:37,2024-05-02T05:39:11.054Z
C137,vincent pratt,M,montana,47,True,2018-01-17 14:57:00,2024-05-02T05:39:11.054Z
C138,tammy smith,F,colorado,24,False,2018-01-24 09:34:07,2024-05-02T05:39:11.055Z
C139,susan weaver,F,new york,67,True,2016-10-25 15:26:05,2024-05-02T05:39:11.056Z
C140,matthew martin,M,indiana,52,True,2019-10-22 17:53:54,2024-05-02T05:39:11.057Z
C141,matthew conner,M,georgia,18,True,2019-03-07 14:40:58,2024-05-02T05:39:11.057Z
C142,marissa ramirez,F,virginia,52,False,2016-12-19 19:02:38,2024-05-02T05:39:11.058Z
C143,james kidd,M,illinois,56,True,2017-03-15 12:43:03,2024-05-02T05:39:11.059Z
C144,donna moss,F,north dakota,22,False,2019-04-11 06:02:13,2024-05-02T05:39:11.059Z
C145,mary gould,F,iowa,21,False,2019-05-14 08:20:05,2024-05-02T05:39:11.060Z
C146,jessica patterson,F,hawaii,89,False,2019-05-31 07:47:58,2024-05-02T05:39:11.060Z
C147,aaron sandoval,M,missouri,55,False,2018-03-12 20:33:16,2024-05-02T05:39:11.061Z
C148,sean jenkins,M,arizona,47,True,2016-07-01 19:46:00,2024-05-02T05:39:11.062Z
C149,anthony elliott,M,kentucky,69,True,2018-06-15 23:35:45,2024-05-02T05:39:11.063Z
C150,william jones,M,oklahoma,19,False,2016-09-13 19:55:56,2024-05-02T05:39:11.063Z
C151,bryan booker,M,wisconsin,28,True,2018-07-31 17:36:02,2024-05-02T05:39:11.064Z
C152,shelby lewis,F,alaska,46,True,2019-08-13 23:06:57,2024-05-02T05:39:11.064Z
