customer_id,name,sex,state,age,is_married,active_since,event_time,email
C10001,kara cooper,F,montana,76,True,2018-08-13 00:48:59,2024-05-02T13:43:28.295Z,kennethday@example.net
C10002,judy erickson,F,new york,76,True,2016-06-18 11:33:39,2024-05-02T13:43:28.296Z,smelendez@example.org
C10003,brian galvan,M,alaska,40,False,2017-01-23 19:25:14,2024-05-02T13:43:28.298Z,brianperry@example.net
C10004,karen norris,F,wisconsin,68,False,2018-06-15 09:07:32,2024-05-02T13:43:28.300Z,alyssamorgan@example.net
C10005,whitney taylor,F,ohio,62,True,2018-07-18 15:53:00,2024-05-02T13:43:28.301Z,cjenkins@example.org
C10006,brianna ruiz,F,washington,73,False,2016-02-10 16:33:24,2024-05-02T13:43:28.304Z,vluna@example.net
C10007,lisa johnson,F,hawaii,82,False,2018-04-12 22:46:45,2024-05-02T13:43:28.305Z,jeffrey28@example.org
C10008,joe garrett,M,new york,32,False,2018-01-25 13:18:05,2024-05-02T13:43:28.306Z,greenmichael@example.com
C10009,emily smith,F,maine,86,False,2018-12-03 07:53:40,2024-05-02T13:43:28.307Z,denisefoster@example.org
C10010,jeremiah flores,M,texas,33,True,2018-03-24 07:20:28,2024-05-02T13:43:28.309Z,wfox@example.org
C10011,richard larson,M,nebraska,28,False,2019-02-17 07:57:08,2024-05-02T13:43:28.310Z,crossnicole@example.com
C10012,jessica owens,F,arizona,76,False,2016-07-22 07:27:23,2024-05-02T13:43:28.311Z,joanne66@example.org
C10013,stephanie campbell,F,hawaii,51,False,2016-06-25 19:39:29,2024-05-02T13:43:28.313Z,gambledeanna@example.net
C10014,wendy gonzales,F,alabama,24,True,2017-11-11 13:31:02,2024-05-02T13:43:28.315Z,rodriguezsamuel@example.com
C10015,ariana thomas,F,washington,44,False,2016-01-12 22:09:27,2024-05-02T13:43:28.316Z,jacobcantrell@example.org
C10016,deborah lopez,F,illinois,60,False,2019-05-08 23:37:52,2024-05-02T13:43:28.318Z,rgonzalez@example.net
C10017,scott carroll,M,connecticut,47,True,2019-12-29 07:14:22,2024-05-02T13:43:28.320Z,jenningslauren@example.com
C10018,danielle martin,F,south carolina,57,True,2019-10-26 01:45:51,2024-05-02T13:43:28.320Z,harristoni@example.org
C10019,john curtis,M,tennessee,44,True,2017-08-10 14:00:27,2024-05-02T13:43:28.321Z,larryford@example.com
C10020,jennifer gallagher,F,alabama,40,False,2019-03-27 05:13:45,2024-05-02T13:43:28.323Z,gutierrezcharles@example.com
C10021,lisa petersen,F,michigan,36,True,2019-03-12 14:33:23,2024-05-02T13:43:28.324Z,joseph23@example.net
C10022,william cummings,M,alaska,42,False,2017-01-30 18:11:00,2024-05-02T13:43:28.326Z,ospencer@example.org
C10023,joseph williams,M,alaska,62,False,2018-05-09 08:52:23,2024-05-02T13:43:28.327Z,brendaluna@example.com
C10024,gerald russell,M,florida,65,False,2018-11-02 11:35:34,2024-05-02T13:43:28.328Z,laura45@example.org
C10025,danielle rush,F,vermont,70,True,2016-02-13 09:16:59,2024-05-02T13:43:28.329Z,agilbert@example.com
C10026,amy chen,F,maryland,44,False,2017-06-16 04:59:10,2024-05-02T13:43:28.330Z,douglas51@example.com
C10027,ian evans,M,new york,69,True,2016-06-11 14:00:51,2024-05-02T13:43:28.331Z,gregorymichael@example.org
C10028,donald riley,M,utah,77,True,2017-01-13 15:22:17,2024-05-02T13:43:28.332Z,joshua05@example.net
C10029,alexander atkins,M,colorado,89,True,2017-09-12 02:45:51,2024-05-02T13:43:28.333Z,benjaminmatthew@example.net
C10030,edward miller,M,maryland,53,False,2016-05-30 14:55:46,2024-05-02T13:43:28.334Z,tina01@example.net
C10031,james hansen,M,kansas,66,True,2017-12-08 08:01:30,2024-05-02T13:43:28.336Z,brownrobert@example.com
C10032,joseph brown,M,south dakota,38,True,2019-01-31 00:50:02,2024-05-02T13:43:28.337Z,richardsonkimberly@example.com
C10033,james ward,M,rhode island,33,False,2016-10-26 09:40:23,2024-05-02T13:43:28.338Z,medwards@example.net
C10034,mark cochran,M,louisiana,41,True,2016-08-02 01:10:59,2024-05-02T13:43:28.339Z,donaldlee@example.net
C10035,matthew velez,M,missouri,18,True,2019-06-30 03:54:50,2024-05-02T13:43:28.339Z,ogalloway@example.net
C10036,sean miranda md,M,alaska,68,False,2017-05-11 12:46:12,2024-05-02T13:43:28.340Z,bmcgrath@example.net
C10037,patricia turner,F,hawaii,36,True,2019-04-01 12:43:06,2024-05-02T13:43:28.341Z,phillipjackson@example.net
C10038,sean flores,M,maine,90,True,2018-01-19 18:59:59,2024-05-02T13:43:28.343Z,wagnerjohn@example.net
C10039,hunter lynch,M,alaska,38,False,2019-11-12 21:05:25,2024-05-02T13:43:28.344Z,michelle43@example.com
C10040,jake fowler,M,florida,42,False,2018-07-01 23:36:15,2024-05-02T13:43:28.345Z,gonzalezemily@example.net
C10041,bradley watkins,M,iowa,39,False,2017-08-15 00:30:01,2024-05-02T13:43:28.345Z,bennettmanuel@example.net
C10042,michael thompson,M,rhode island,21,True,2016-11-30 04:27:23,2024-05-02T13:43:28.346Z,ramirezkatrina@example.net
C10043,sara randolph,F,washington,48,False,2016-02-01 09:51:03,2024-05-02T13:43:28.347Z,cbarry@example.org
C10044,adam jackson,M,wisconsin,75,True,2019-04-26 09:31:34,2024-05-02T13:43:28.348Z,sandy41@example.org
C10045,nicholas smith,M,indiana,67,True,2019-05-03 12:35:25,2024-05-02T13:43:28.349Z,whitejose@example.org
C10046,gregory rodgers,M,idaho,34,False,2018-09-16 18:27:45,2024-05-02T13:43:28.350Z,floydcindy@example.net
C10047,kevin jones,M,hawaii,88,False,2019-10-01 20:42:03,2024-05-02T13:43:28.351Z,richardmcclure@example.net
C10048,jared hernandez,M,wisconsin,24,False,2016-03-12 22:34:54,2024-05-02T13:43:28.352Z,kimberlycastro@example.org
C10049,robert flores,M,alabama,49,True,2017-05-03 23:12:36,2024-05-02T13:43:28.352Z,mariawashington@example.net
C10050,sean ward,M,louisiana,82,False,2019-10-09 03:39:43,2024-05-02T13:43:28.353Z,seansmith@example.org
C10051,sheryl vasquez,F,maine,55,False,2016-12-20 13:38:09,2024-05-02T13:43:28.354Z,randalljames@example.com
C10052,joshua wang,M,michigan,61,True,2016-04-26 08:48:19,2024-05-02T13:43:28.355Z,michaelbooth@example.org
C10053,edward johnson dds,M,maine,85,False,2019-02-12 11:09:31,2024-05-02T13:43:28.355Z,oconnellfrederick@example.net
C10054,kevin norman,M,arkansas,61,True,2017-01-29 08:17:17,2024-05-02T13:43:28.356Z,evansjuan@example.org
C10055,brian jackson,M,hawaii,87,False,2017-10-19 01:08:23,2024-05-02T13:43:28.357Z,loricollins@example.com
C10056,rebecca schwartz,F,michigan,64,False,2019-07-12 22:36:42,2024-05-02T13:43:28.358Z,karengriffin@example.net
C10057,dennis campbell,M,west virginia,79,False,2017-06-25 13:51:44,2024-05-02T13:43:28.359Z,douglasmiller@example.net
