customer_id,sex,is_married,event_time,email,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C10001,0,1,2024-05-02T13:43:28.295Z,kennethday@example.net,0,0,0,0,0,1,0.34589041095890405
C10002,0,1,2024-05-02T13:43:28.296Z,smelendez@example.org,0,0,0,0,0,1,0.8842465753424658
C10003,1,0,2024-05-02T13:43:28.298Z,brianperry@example.net,0,1,0,0,0,0,0.7342465753424658
C10004,0,0,2024-05-02T13:43:28.300Z,alyssamorgan@example.net,0,0,0,0,1,0,0.3863013698630138
C10005,0,1,2024-05-02T13:43:28.301Z,cjenkins@example.org,0,0,0,0,1,0,0.3636986301369862
C10006,0,0,2024-05-02T13:43:28.304Z,vluna@example.net,0,0,0,0,0,1,0.9726027397260273
C10007,0,0,2024-05-02T13:43:28.305Z,jeffrey28@example.org,0,0,0,0,0,1,0.43013698630137
C10008,1,0,2024-05-02T13:43:28.306Z,greenmichael@example.com,0,1,0,0,0,0,0.48287671232876717
C10009,0,0,2024-05-02T13:43:28.307Z,denisefoster@example.org,0,0,0,0,0,1,0.26917808219178085
C10010,1,1,2024-05-02T13:43:28.309Z,wfox@example.org,0,1,0,0,0,0,0.4431506849315068
C10011,1,0,2024-05-02T13:43:28.310Z,crossnicole@example.com,1,0,0,0,0,0,0.217123287671233
C10012,0,0,2024-05-02T13:43:28.311Z,joanne66@example.org,0,0,0,0,0,1,0.8609589041095891
C10013,0,0,2024-05-02T13:43:28.313Z,gambledeanna@example.net,0,0,0,1,0,0,0.8794520547945206
C10014,0,1,2024-05-02T13:43:28.315Z,rodriguezsamuel@example.com,1,0,0,0,0,0,0.5342465753424659
C10015,0,0,2024-05-02T13:43:28.316Z,jacobcantrell@example.org,0,0,1,0,0,0,0.9924657534246575
C10016,0,0,2024-05-02T13:43:28.318Z,rgonzalez@example.net,0,0,0,1,0,0,0.1623287671232876
C10017,1,1,2024-05-02T13:43:28.320Z,jenningslauren@example.com,0,0,1,0,0,0,0.00136986301369868
C10018,0,1,2024-05-02T13:43:28.320Z,harristoni@example.org,0,0,0,1,0,0,0.045205479452054886
C10019,1,1,2024-05-02T13:43:28.321Z,larryford@example.com,0,0,1,0,0,0,0.5979452054794521
C10020,0,0,2024-05-02T13:43:28.323Z,gutierrezcharles@example.com,0,1,0,0,0,0,0.19109589041095898
C10021,0,1,2024-05-02T13:43:28.324Z,joseph23@example.net,0,1,0,0,0,0,0.20136986301369864
C10022,1,0,2024-05-02T13:43:28.326Z,ospencer@example.org,0,0,1,0,0,0,0.7294520547945207
C10023,1,0,2024-05-02T13:43:28.327Z,brendaluna@example.com,0,0,0,0,1,0,0.41164383561643847
C10024,1,0,2024-05-02T13:43:28.328Z,laura45@example.org,0,0,0,0,1,0,0.2904109589041095
C10025,0,1,2024-05-02T13:43:28.329Z,agilbert@example.com,0,0,0,0,1,0,0.9705479452054795
C10026,0,0,2024-05-02T13:43:28.330Z,douglas51@example.com,0,0,1,0,0,0,0.6356164383561644
C10027,1,1,2024-05-02T13:43:28.331Z,gregorymichael@example.org,0,0,0,0,1,0,0.8890410958904109
C10028,1,1,2024-05-02T13:43:28.332Z,joshua05@example.net,0,0,0,0,0,1,0.741095890410959
C10029,1,1,2024-05-02T13:43:28.333Z,benjaminmatthew@example.net,0,0,0,0,0,1,0.5753424657534247
C10030,1,0,2024-05-02T13:43:28.334Z,tina01@example.net,0,0,0,1,0,0,0.8972602739726028
C10031,1,1,2024-05-02T13:43:28.336Z,brownrobert@example.com,0,0,0,0,1,0,0.5157534246575344
C10032,1,1,2024-05-02T13:43:28.337Z,richardsonkimberly@example.com,0,1,0,0,0,0,0.22876712328767135
C10033,1,0,2024-05-02T13:43:28.338Z,medwards@example.net,0,1,0,0,0,0,0.7952054794520549
